Epoch, Train Loss, Train BCE, Train KLD, Valid Loss, Valid BCE, Valid KLD, FID
72, 102.5811, 77.4254, 25.1558, 102.7379, 77.9181, 24.8198, 97.9800
73, 102.5788, 77.4442, 25.1347, 102.7885, 77.6170, 25.1715, 99.2687
74, 102.5162, 77.3834, 25.1328, 102.7622, 77.9201, 24.8421, 97.4191
75, 102.5362, 77.3951, 25.1412, 102.7215, 77.7120, 25.0096, 98.6569
76, 102.5137, 77.3552, 25.1586, 102.7133, 78.0055, 24.7078, 99.4857
77, 102.4859, 77.3565, 25.1294, 102.6103, 77.3861, 25.2242, 99.1627
78, 102.4248, 77.2951, 25.1298, 102.6104, 77.6593, 24.9511, 97.4985
79, 102.3996, 77.2711, 25.1285, 102.9658, 77.8835, 25.0822, 97.2084
80, 102.4128, 77.2835, 25.1293, 102.7972, 77.5740, 25.2233, 99.5612
81, 102.3281, 77.2186, 25.1095, 102.3038, 77.1012, 25.2026, 100.9644
82, 102.3523, 77.2293, 25.1231, 102.6775, 77.6504, 25.0271, 94.2774
83, 102.3708, 77.2422, 25.1287, 102.7607, 77.6282, 25.1325, 98.7992
84, 102.3494, 77.2171, 25.1323, 102.4785, 77.4619, 25.0166, 98.2489
85, 102.2990, 77.1895, 25.1096, 102.8643, 77.3903, 25.4740, 99.0885
86, 102.3289, 77.2151, 25.1138, 102.4128, 77.6617, 24.7511, 97.3295
87, 102.2565, 77.1423, 25.1142, 102.5939, 77.8067, 24.7872, 99.0144
88, 102.1742, 77.0889, 25.0853, 102.5244, 78.1007, 24.4237, 96.8826
89, 102.2066, 77.1125, 25.0941, 102.7315, 77.6861, 25.0454, 99.0107
90, 102.2971, 77.1768, 25.1204, 102.3231, 76.8785, 25.4446, 93.0504
91, 102.1736, 77.0858, 25.0877, 102.5106, 77.1209, 25.3896, 100.7551
92, 102.1520, 77.0673, 25.0847, 102.2802, 77.5030, 24.7772, 97.1280
93, 102.1398, 77.0518, 25.0880, 102.2999, 77.3910, 24.9090, 97.8203
94, 102.1188, 77.0495, 25.0693, 102.3502, 77.2195, 25.1307, 101.0332
95, 102.1101, 77.0323, 25.0778, 102.1834, 76.8946, 25.2888, 100.6734
96, 102.1242, 77.0381, 25.0861, 102.3227, 76.7839, 25.5388, 97.7115
97, 102.1611, 77.0547, 25.1064, 102.2409, 77.3580, 24.8828, 100.5258
98, 102.0964, 76.9960, 25.1004, 102.2844, 77.0634, 25.2210, 97.2729
99, 102.0404, 76.9699, 25.0705, 102.6282, 77.9468, 24.6814, 96.3388
100, 102.1023, 77.0197, 25.0825, 102.3909, 77.3701, 25.0209, 94.7855
